的	bu	白勺	76938354
一	aa	一一	35278860
了	aa	乛亅	34812434
了	vu	乛亅	34812434
是	op	日疋	31422712
是	ov	日龰	31422712
不	ad	一丶	29858097
不	ax	一小	29858097
我	pd	丿丶	29569261
我	pp	丿丿	29569261
在	ta	土丨	19195987
在	ut	ナ土	19195987
人	pd	丿丶	18435295
有	ou	月十	17847013
有	uo	ナ月	17847013
他	ry	亻也	17596473
你	re	亻尔	14221925
上	aa	丨一	11918291
上	ba	卜一	11918291
到	dv	刂至	11505436
就	yj	尤京	11305679
着	yo	羊目	11165468
大	ad	一丶	10828984
道	zu	辶首	10625536
那	el	阝𭃂	9929703
也	gg	𠃌乚	9508702
地	ty	土也	8804040
子	aa	乛一	8641973
子	vh	乛一	8641973
下	ab	一卜	8550882
下	ad	一丶	8550882
出	aa	丨丨	8294943
出	ck	屮凵	8294943
看	ou	目龵	8030267
看	uo	龵目	8030267
要	xn	覀女	7944606
她	ny	女也	7870163
中	aa	丨丨	7680869
中	ka	口丨	7680869
然	dq	灬犬	7339938
然	hq	灬犬	7339938
自	pa	丿一	7261699
自	pm	丿目	7261699
自	po	丿目	7261699
好	nz	女子	7259684
得	xc	彳寸	7186260
去	ts	土厶	7182400
可	dk	丁口	7069176
天	ad	一大	6797499
心	dd	丶丶	6555833
以	rd	人丶	6523162
以	ry	人{𠄌丶}	6523162
小	ad	亅丶	6383822
都	ev	耳者	6342930
和	hk	禾口	6252031
想	xx	相心	6140550
能	sb	厶匕	5933639
起	zj	走己	5819918
之	dd	丶丶	5373763
手	pa	丿丨	5076179
手	ub	{手}	5076179
而	aa	一丨	5075337
只	kb	口八	5050153
生	na	牛一	4966773
什	ru	亻十	4828364
身	pp	丿丿	4819905
事	aa	亅一	4729336
多	xx	夕夕	4617194
己	ag	乛乚	4569251
己	vg	乛乚	4569251
家	bu	宀豕	4546765
面	aa	一一	4532962
知	ku	口矢	4397165
知	uk	矢口	4397165
如	nk	女口	4308194
很	xg	彳艮	3994436
前	bd	丷刂	3967855
前	qd	䒑刂	3967855
情	xq	忄青	3879008
把	fb	扌巴	3798288
老	bl	匕耂	3762961
老	lb	耂匕	3762961
些	ec	二此	3752167
已	ag	乛乚	3720796
已	vg	乛乚	3720796
又	ad	フ丶	3710252
又	vd	フ丶	3710252
意	lx	立心	3668831
意	xy	心音	3668831
回	kk	口口	3608341
笑	vy	𥫗夭	3577465
所	hj	户斤	3534172
所	jh	斤户	3534172
但	rd	亻旦	3505257
眼	og	目艮	3495315
成	gg	𠃌戈	3478315
成	wg	戊𠃌	3478315
方	dd	丶刀	3471764
方	dg	丶𠃌	3471764
方	dp	丶丿	3471764
方	dw	丶万	3471764
方	wd	亠刀	3471764
年	pa	丿丨	3465446
年	ra	人丨	3465446
女	aa	フ一	3362646
女	vh	フ一	3362646
真	uj	十具	3314815
力	gp	𠃌丿	3298612
用	kf	冂𰀁	3170468
走	tv	土龰	3020224
被	yp	衤皮	2998064
正	av	一止	2933903
打	fd	扌丁	2882337
明	oo	日月	2864492
法	dq	氵去	2798486
才	ap	一丿	2774963
行	xd	彳丁	2756706
行	xi	彳亍	2756706
三	aa	一一	2747794
定	bp	宀疋	2738825
此	vb	止匕	2725965
再	aa	一乛	2681503
再	at	一土	2681503
同	kk	冂口	2614683
最	oq	日取	2582957
本	aa	一一	2579524
本	ma	木一	2579524
向	pk	丿口	2570964
分	bd	八刀	2568782
分	db	刀八	2568782
十	aa	丨一	2567177
高	dk	丶口	2565932
高	wk	亠口	2565932
第	vp	𥫗丿	2558818
感	xx	咸心	2529138
怎	xv	心乍	2520317
神	uu	礻申	2509843
作	rv	亻乍	2437693
其	ad	一丶	2417047
其	ba	八一	2417047
其	hb	一八	2417047
吧	kb	口巴	2403165
口	aa	丨一	2375024
啊	ka	口阿	2366043
因	kd	口大	2334623
白	pa	丿一	2322211
白	po	丿日	2322211
次	dq	冫欠	2307457
做	rg	亻故	2254997
外	xb	夕卜	2234449
光	ea	儿一	2185701
光	xw	小兀	2185701
主	dw	丶王	2156315
住	rv	亻主	2114870
果	ad	丨丶	2105431
果	tm	田木	2105431
全	rw	入王	2085206
二	aa	一一	2073729
候	ru	亻矢	2064968
公	bs	八厶	2055138
公	sb	厶八	2055138
相	mo	木目	2037658
等	vs	竹寺	2002114
色	db	刀巴	1988512
死	db	歹匕	1979349
部	ek	阝口	1972176
部	ep	阝咅	1972176
太	dd	大丶	1962845
日	aa	丨丨	1944999
日	or	{日}	1944999
日	ri	{日}	1944999
少	xp	小丿	1940099
理	wl	王里	1903915
直	aa	一一	1902380
直	uq	十且	1902380
重	pa	丿一	1900814
重	ql	千里	1900814
王	aa	一一	1891711
像	rx	亻象	1883479
比	bb	匕匕	1844194
快	xd	忄丶	1840001
快	xg	忄夬	1840001
何	rk	亻可	1822108
水	ad	一丶	1817943
